Player 0, Player 1, Player 2, Player 3
30, 17, 27, 26, 
29, 23, 22, 26, 
22, 25, 28, 25, 
22, 21, 27, 30, 
32, 26, 22, 20, 
30, 24, 26, 20, 
24, 23, 28, 25, 
17, 29, 26, 28, 
33, 19, 24, 24, 
24, 26, 23, 27, 
25, 17, 32, 26, 
26, 25, 27, 22, 
27, 27, 23, 23, 
24, 26, 26, 24, 
26, 32, 20, 22, 
20, 29, 22, 29, 
25, 23, 25, 27, 
23, 25, 27, 25, 
21, 24, 32, 23, 
23, 32, 28, 17, 
20, 25, 23, 32, 
29, 24, 24, 23, 
24, 25, 33, 18, 
28, 25, 30, 17, 
22, 29, 27, 22, 
27, 19, 23, 31, 
21, 29, 25, 25, 
22, 19, 39, 20, 
26, 25, 22, 27, 
26, 31, 15, 28, 
21, 31, 23, 25, 
24, 24, 25, 27, 
22, 28, 32, 18, 
19, 28, 28, 25, 
23, 24, 25, 28, 
20, 27, 25, 28, 
27, 23, 26, 24, 
26, 25, 24, 25, 
25, 29, 24, 22, 
28, 19, 21, 32, 
25, 25, 27, 23, 
22, 30, 25, 23, 
29, 30, 17, 24, 
22, 27, 26, 25, 
28, 21, 26, 25, 
31, 21, 25, 23, 
34, 22, 18, 26, 
26, 25, 19, 30, 
26, 21, 30, 23, 
28, 24, 28, 20, 
23, 21, 29, 27, 
26, 21, 26, 27, 
27, 20, 23, 30, 
23, 20, 23, 34, 
22, 24, 26, 28, 
31, 27, 18, 24, 
18, 20, 33, 29, 
27, 25, 27, 21, 
24, 30, 24, 22, 
25, 31, 22, 22, 
15, 24, 26, 35, 
22, 23, 25, 30, 
29, 21, 25, 25, 
27, 21, 21, 31, 
25, 23, 27, 25, 
24, 34, 19, 23, 
29, 28, 23, 20, 
27, 23, 22, 28, 
24, 21, 29, 26, 
28, 26, 20, 26, 
26, 23, 24, 27, 
25, 30, 21, 24, 
24, 26, 19, 31, 
32, 15, 27, 26, 
25, 22, 29, 24, 
27, 24, 23, 26, 
24, 24, 30, 22, 
33, 21, 24, 22, 
25, 35, 17, 23, 
23, 22, 24, 31, 
27, 23, 28, 22, 
28, 24, 22, 26, 
23, 28, 26, 23, 
29, 26, 19, 26, 
24, 26, 22, 28, 
26, 38, 17, 19, 
21, 21, 26, 32, 
22, 27, 21, 30, 
24, 36, 21, 19, 
24, 30, 28, 18, 
20, 28, 27, 25, 
30, 16, 27, 27, 
27, 26, 23, 24, 
28, 23, 24, 25, 
22, 24, 25, 29, 
20, 21, 19, 40, 
22, 28, 26, 24, 
24, 27, 22, 27, 
29, 26, 29, 16, 
25, 30, 22, 23, 
