Player 0, Player 1, Player 2, Player 3
35, 20, 24, 21, 
43, 19, 23, 15, 
51, 13, 21, 15, 
48, 21, 11, 20, 
50, 21, 12, 17, 
49, 13, 22, 16, 
51, 12, 22, 15, 
61, 16, 8, 15, 
57, 21, 9, 13, 
49, 11, 23, 17, 
51, 18, 19, 12, 
57, 18, 12, 13, 
46, 17, 18, 19, 
49, 21, 19, 11, 
55, 18, 15, 12, 
56, 19, 12, 13, 
58, 15, 8, 19, 
61, 10, 16, 13, 
47, 22, 14, 17, 
53, 16, 17, 14, 
57, 12, 13, 18, 
52, 17, 19, 12, 
64, 15, 14, 7, 
56, 17, 11, 16, 
50, 16, 23, 11, 
54, 17, 15, 14, 
47, 18, 20, 15, 
47, 25, 8, 20, 
45, 20, 17, 18, 
46, 19, 18, 17, 
44, 11, 15, 30, 
47, 17, 15, 21, 
59, 14, 13, 14, 
44, 15, 19, 22, 
55, 14, 15, 16, 
49, 19, 18, 14, 
46, 19, 20, 15, 
51, 19, 12, 18, 
56, 9, 20, 15, 
51, 21, 17, 11, 
60, 15, 10, 15, 
45, 17, 17, 21, 
52, 20, 13, 15, 
44, 16, 19, 21, 
50, 15, 18, 17, 
50, 17, 15, 18, 
45, 18, 19, 18, 
64, 14, 12, 10, 
57, 15, 14, 14, 
55, 16, 13, 16, 
51, 14, 17, 18, 
58, 16, 13, 13, 
63, 15, 10, 12, 
55, 13, 15, 17, 
58, 23, 8, 11, 
46, 15, 15, 24, 
49, 11, 21, 19, 
53, 18, 12, 17, 
55, 13, 14, 18, 
51, 15, 21, 13, 
49, 24, 12, 15, 
57, 19, 13, 11, 
55, 16, 15, 14, 
46, 19, 20, 15, 
50, 18, 18, 14, 
51, 17, 15, 17, 
52, 19, 14, 15, 
62, 12, 13, 13, 
54, 20, 13, 13, 
53, 17, 14, 16, 
55, 20, 11, 14, 
52, 11, 19, 18, 
56, 12, 18, 14, 
51, 15, 14, 20, 
57, 18, 15, 10, 
57, 13, 13, 17, 
61, 13, 17, 9, 
62, 9, 11, 18, 
55, 12, 9, 24, 
45, 22, 13, 20, 
42, 22, 19, 17, 
54, 15, 15, 16, 
49, 17, 19, 15, 
52, 16, 11, 21, 
54, 11, 18, 17, 
57, 18, 12, 13, 
46, 20, 17, 17, 
58, 15, 13, 14, 
51, 12, 15, 22, 
53, 13, 17, 17, 
54, 16, 13, 17, 
45, 24, 14, 17, 
49, 15, 19, 17, 
48, 17, 15, 20, 
55, 15, 13, 17, 
49, 19, 17, 15, 
52, 17, 17, 14, 
58, 15, 13, 14, 
55, 12, 18, 15, 
51, 15, 20, 14, 
56, 16, 12, 16, 
52, 22, 12, 14, 
52, 18, 15, 15, 
47, 19, 19, 15, 
50, 16, 18, 16, 
59, 16, 12, 13, 
49, 18, 13, 20, 
51, 13, 21, 15, 
57, 12, 18, 13, 
46, 16, 21, 17, 
49, 21, 15, 15, 
39, 20, 18, 23, 
50, 8, 20, 22, 
58, 17, 14, 11, 
50, 17, 15, 18, 
49, 14, 19, 18, 
45, 22, 14, 19, 
49, 16, 20, 15, 
59, 10, 13, 18, 
52, 20, 15, 13, 
51, 19, 13, 17, 
47, 17, 20, 16, 
57, 13, 18, 12, 
52, 12, 15, 21, 
56, 19, 14, 11, 
46, 19, 19, 16, 
54, 19, 16, 11, 
57, 19, 11, 13, 
49, 18, 14, 19, 
46, 20, 20, 14, 
46, 18, 22, 14, 
40, 15, 20, 25, 
48, 15, 20, 17, 
53, 14, 18, 15, 
52, 18, 15, 15, 
51, 13, 14, 22, 
58, 12, 17, 13, 
43, 18, 21, 18, 
51, 12, 22, 15, 
48, 14, 22, 16, 
57, 18, 17, 8, 
50, 18, 14, 18, 
60, 15, 17, 8, 
49, 22, 19, 10, 
45, 12, 20, 23, 
41, 22, 21, 16, 
53, 15, 19, 13, 
58, 13, 16, 13, 
51, 20, 12, 17, 
51, 17, 13, 19, 
47, 19, 16, 18, 
45, 16, 13, 26, 
57, 10, 16, 17, 
62, 14, 8, 16, 
49, 13, 19, 19, 
49, 18, 16, 17, 
48, 19, 14, 19, 
58, 9, 16, 17, 
55, 14, 16, 15, 
56, 11, 17, 16, 
51, 12, 18, 19, 
50, 20, 10, 20, 
58, 14, 15, 13, 
44, 21, 15, 20, 
47, 16, 20, 17, 
43, 26, 11, 20, 
47, 18, 20, 15, 
57, 20, 12, 11, 
48, 13, 15, 24, 
59, 13, 11, 17, 
42, 15, 16, 27, 
55, 18, 18, 9, 
57, 14, 13, 16, 
46, 20, 18, 16, 
46, 16, 18, 20, 
51, 13, 23, 13, 
46, 20, 20, 14, 
51, 14, 21, 14, 
48, 24, 15, 13, 
56, 11, 16, 17, 
47, 22, 10, 21, 
57, 16, 13, 14, 
56, 9, 16, 19, 
56, 13, 17, 14, 
47, 16, 23, 14, 
56, 13, 11, 20, 
63, 5, 17, 15, 
57, 13, 19, 11, 
55, 14, 15, 16, 
49, 19, 19, 13, 
51, 15, 20, 14, 
61, 14, 13, 12, 
48, 15, 19, 18, 
53, 21, 13, 13, 
46, 18, 17, 19, 
51, 16, 15, 18, 
51, 22, 12, 15, 
50, 16, 19, 15, 
55, 13, 19, 13, 
54, 15, 18, 13, 
64, 10, 10, 16, 
55, 16, 16, 13, 
55, 17, 12, 16, 
52, 15, 14, 19, 
45, 21, 18, 16, 
61, 7, 19, 13, 
55, 9, 13, 23, 
46, 25, 13, 16, 
49, 18, 20, 13, 
56, 11, 16, 17, 
44, 21, 16, 19, 
50, 14, 19, 17, 
53, 19, 18, 10, 
52, 20, 14, 14, 
49, 18, 17, 16, 
44, 20, 23, 13, 
59, 15, 12, 14, 
51, 18, 18, 13, 
52, 14, 17, 17, 
52, 15, 15, 18, 
53, 21, 11, 15, 
53, 16, 11, 20, 
47, 17, 22, 14, 
41, 23, 21, 15, 
52, 20, 15, 13, 
50, 13, 20, 17, 
66, 8, 12, 14, 
49, 18, 19, 14, 
51, 19, 18, 12, 
48, 12, 19, 21, 
50, 20, 17, 13, 
50, 13, 20, 17, 
47, 22, 18, 13, 
55, 11, 21, 13, 
60, 16, 11, 13, 
55, 14, 17, 14, 
55, 19, 9, 17, 
55, 18, 11, 16, 
55, 17, 17, 11, 
50, 15, 13, 22, 
51, 10, 22, 17, 
51, 20, 16, 13, 
56, 19, 11, 14, 
48, 15, 18, 19, 
56, 14, 13, 17, 
47, 14, 19, 20, 
61, 9, 17, 13, 
48, 21, 14, 17, 
56, 21, 16, 7, 
45, 18, 17, 20, 
51, 16, 19, 14, 
55, 19, 14, 12, 
51, 18, 16, 15, 
56, 13, 14, 17, 
49, 17, 17, 17, 
57, 12, 10, 21, 
51, 14, 17, 18, 
53, 11, 14, 22, 
64, 12, 11, 13, 
53, 17, 17, 13, 
56, 13, 14, 17, 
59, 16, 10, 15, 
50, 17, 16, 17, 
45, 14, 25, 16, 
58, 14, 14, 14, 
46, 19, 17, 18, 
50, 20, 12, 18, 
50, 15, 17, 18, 
52, 17, 16, 15, 
50, 14, 15, 21, 
52, 11, 18, 19, 
53, 18, 12, 17, 
55, 13, 17, 15, 
51, 17, 14, 18, 
47, 27, 10, 16, 
44, 16, 17, 23, 
50, 14, 22, 14, 
52, 18, 20, 10, 
57, 14, 14, 15, 
48, 17, 9, 26, 
51, 16, 11, 22, 
53, 14, 19, 14, 
51, 24, 12, 13, 
56, 11, 18, 15, 
53, 12, 11, 24, 
